key,translatorHint, value
pageTitleKeyHome, "Home", "Página principal"
pageTitleKeyMap, "Map", "Mapa"
pageTitleKeyVocabulary, "Vocab", "Vocabulario en galés"
pageTitleKeyAbout, "About", "Acerca de BYW"
pageTitleKeySubmit, "Submit", "Añadir ubicaciones a este mapa"
pageTitleKeyPrivacy, "Privacy", "Privacidad"
pageTitleTagKeyHome, "BYW | Home", "BYW | Página principal"
pageTitleTagKeyMap, "BYW | Map", "BYW | Mapa"
pageTitleTagKeyVocabulary, "BYW | Vocab", "BYW | Vocabulario en galés"
pageTitleTagKeyAbout, "BYW | About", "BYW | Acerca de BYW"
pageTitleTagKeySubmit, "BYW | Submit", "BYW | Añadir ubicaciones a este mapa"
pageTitleTagKeyPrivacy, "BYW | Privacy", "BYW | Privacidad"
pageTitleTagKey404, "BYW | Page Not Found", "BYW | No se pudo encontrar la página"
footerTest404, "Test the 404 page", "Probar la página de error 404"
footerContributing, "Contributing", "¿Cómo puedo contribuir?"
footerP1, "Everyone can help learners find places to go and use their Welsh. Your submissions also help us to monitor how much the language is used, not just in Wales, but across the world", "Todo el mundo puede ayudar a los que están aprendiendo galés a encontrar lugares donde se puede practicar el galés. Además de ayudar a estudiantes del galés, sus contribuciones nos ayudan a comprobar cuanto se usa el idioma galés, no solo en Galés, sino por todo el mundo."
footerP2, "Submitting a review is quick and no account or login is required. If you are aware of a place that Welsh can be heard and used, but is not already in our index, submitting it to the index will let others know", "Escribirnos una reseña sobre el uso del galés en un lugar es rápido y no se requiere crear una cuenta para hacerlo. Si conoce a un lugar de habla galesa, que no se haya añadido a nuestro indíce de lugares, añadirlo al indíce imformará a más personas."
footerUsefulLinks, "Useful links", "Enlaces útiles"
footerVisitOn, "Visit us on", "Contáctenos por"
category0, "Highly unlikely", "Muy improbable"
category1, "Not very likely", "No muy probable"
category2, "Likely", "Probable"
category3, "Very likely", "Muy probable"
category4, "Highly likely", "Muy probable"
category5, "Definitely", "Definitivamente"
show, "Show", "Mostrar ubicación en la mapa"
categorise, "Categorise", "Clasificar por categorías"
notFoundTitle, "404 Not Found", "404 No se pudo encontrar la página"
homeCrowdSourced, "Crowd sourced", "Un recurso del idioma"
homeWelsh, "Welsh", "galés"
homeLanguageResource, "language resource", "impulsado por la gente"
homeLets, "Let's", "Encontremos"
homeFind, "find", "un"
homeSomewhere, "somewhere", "lugar"
homeHeroTitle, "Find out where to use and hear the language", "Descubra lugares de habla galesa"
homeSearch, "Search", "Buscar"
homeSearchPlaceholder, "What are you searching for?", "¿Qué está buscando?"
homeSearchResults, "Search Results", "Resultados de la búsqueda"
homeLocationPlaceholder, "Location", "Ubicación"
homeAnd, "and", "y"
homeMore, "more", "más"
homeApi, "API", "API"
homeMap, "Map", "Mapa"
homeLanguages, "Languages", "Idiomas"
homeLanguageChoose, "Choose your preferred language", "Elija su idioma preferido"
homeServicesSectionTitle, "Our Services", "Nuestros servicios"
homeServicesSectionTitle1, "What does", "¿Que hace"
homeServicesSectionTitle2, "do for me?", "para mí?"
homeServices1Title, "Local Places", "Lugares locales"
homeServices1Desc, "This site is simply about getting people to use their Welsh. It is available in a couple of languages to help learners from all parts of the globe to find places to use and improve their Welsh skills", "Este sitio trata simplemente de hacer que la gente use su galés. Está disponible en un par de idiomas para ayudar a los estudiantes de todas partes del mundo a encontrar lugares para usar y mejorar sus habilidades de galés."
homeServices2Title, "Native Speakers", "Hablantes nativos"
homeServices2Desc, "However, this is not just about learners. Those fluent need to also use their Welsh whenever they can. Welsh needs to be heard on the street, in the shops and wherever we get together", "Sin embargo, este proyecto no se trata solo de estudiantes. Aquellos que lo dominan también deben usar su galés cuandoquiera que puedan. Se debe poder escuchar el galés en la calle, en las tiendas y dondequiera que nos reunamos"
homeServices3Title, "Days out", "Días libres"
homeServices3Desc, "So, before you shop, go on a day out, or whatever you like to do, see if there will be a Welsh language welcome and, above all, use your Welsh yourself!", "Entonces, antes de que vaya de compras o vaya de excursión o lo que sea que le guste hacer, vea si se te dará la bienvenida galesa y, sobre todo ¡Recuerde usar su galés!"
homeThoughtOfTheDay, "Thought of the day", "El pensamiento del día"
mapResult, "Result", "Resultado"
mapResults, "Results", "Resultados"
mapPages, "Pages", "Paginas"
mapSearchPlaceholder, "Search for places, coordinates and postcodes", "Buscar por lugares, coordenadas y códigos postales."
mapLegendTitle, "Legend to the map", "Leyenda del mapa"
mapLegendSubheading, "A quick glympse of Welsh speaking likeliness", "Un resumen corto de la probabilidad de que se use el galés en un establecimiento"
vocabTitle, "Vocabulary", "Vocabulario en galés"
vocabBeta, "Beta", "Beta"
vocabP1, "This is a beta version of an attempt to provide a searchable resource for commonly heard sayings", "Esta página es un intento de proveer un diccionario de frases comunes en el galés que todavía está en fase Beta."
vocabP2, "Currently it has", "Actualmente contiene"
vocabP3, "words and phrases out of a target of", "palabras y frases de un objetivo de"
vocabResultsFound, "phrases and words found", "frases y palabras encontradas"
vocabEnglish, "English", "inglés (aún no está disponible en español)"
vocabCymraeg, "Cymraeg", "Galés"
vocabNotes, "Notes", "Notas"
aboutTitle, "About", "Sobre"
aboutSub1, "What can", "¿Qué puede hacer"
aboutSub2, "do?", "?"
aboutP1, "Byw.cymru is a community driven, crowd sourced, Welsh language resource. Its primary aim is to help learners and others who are interested in the language find places where they can hear and use the language", "Byw.cymru es un recurso del idioma galés impulsado por la comunidad y de origen colectivo. Su propósito principal es ayudar a los estudiantes y a otras personas interesadas en el idioma a encontrar lugares donde puedan escuchar y usar el idioma."
aboutP2a, "The whole project is", "Todo el proyecto es"
aboutOpenSource, "open source", "de código abierto"
aboutP2b, "and all decisions are made in the open on the projects repo, hosted on", "y todas las decisiones se toman públicamente en el repositorio del proyecto, en"
aboutP3, "The aim of the project is to make finding out this information as easy as possible, with the maximum of community involvement. Therefore the design of the website is to be as easy and quick to use as possible. It is focused around the map page which is the primary resource for searching the index", "El objetivo del proyecto es hacer que la búsqueda de esta información sobre el galés sea tan fácil como posible, con la participación máxima de la comunidad. Por lo tanto, el diseño del sitio web debe ser lo más fácil y rápido de usar posible. Se centra en la página del mapa, que es el recurso principal para buscar en el índice."
aboutP4, "All the code that makes up the website is available in the projects repo and is viewable by anybody. The website and data is hosted using community donated resources. The Api provides access to the data to anybody who wants it. Over time it is expected that the number of Api endpoints will be increased to make it more useful to developers and researchers", "Todo el código del que se compone el sitio web está disponible en el repositorio de proyectos y cualquiera persona puede verlo. El sitio web y los datos se almacenan por utilizar recursos donados por la comunidad. La API le proporciona acceso a estos datos a cualquiera persona que lo desee. Con el tiempo, se espera que la cantidad de puntos finales Api aumente para que sea más útil para desarrolladores e investigadores."
aboutContributing, "Contributing", "¿Cómo puedo contribuir?"
aboutP5, "The quickest and easiest way to contribute to the project is to submit a review. This just means adding a new place to the index or updating an existing one if necessary", "La forma más rápida y sencilla de contribuir al proyecto es escribir una reseña. Esto solo significa añadir un nuevo lugar al índice o actualizar datos sobre un lugar que ya se ha añadido si es necesario"
aboutP6, "Anybody can do this and no login or account is necessary",Todo el mundo puede hacer esto y no requiere que crea una cuenta.
aboutP7a, "If there are any issues discovered, bugs found or suggestions to be made then check out the", "Si se descubren problemas, errores o si tiene algunas sugerencias, consulte el"
aboutP7b, "issues page", "página de problemas"
aboutP7c, "on", "en"
aboutP8, "Those who wish to be more involved should check out the project repo, which is hosted on", "Aquellos que deseen participar más deben consultar el repositorio del proyecto, que se encuentra en"
aboutP9, "There is plenty of work to do to make this project a useful tool for Welsh learners", "Hay mucho trabajo que hacer para que este proyecto sea una herramienta útil para los estudiantes del galés."
submitTitle, "Submit a categorisation", "Añadir una categorización"
submitName, "Name", "Nombre"
submitCategory, "Category", "Categoría"
submitStatus, "Status", "Estado"
howToTitle, "How to", "Cómo puedo"
howToFind, "find somewhere already listed", "encontrar un establecimiento que ya está en la lista"
howToOL1a, "The premises you selected in the map page will appear in the submit box ready for your review of Welsh speaking likelyhood", "El establecimiento que seleccionó en la página del mapa aparecerá en el cuadro de adición listo para su reseña de la probabilidad de que se use el galés"
howToOL1b, "Choose what you feel is best and hit submit", "Elija la opción que crea sea mejor y haga clic en 'Añadir'"
howToOL1c, "If the premises you selected is not where you want to submit a review for then just drag the map pin, the form will be cleared, and you can locate the premises you want to submit", "Si el establecimiento que seleccionó no está en el lugar donde desea añadir una reseña, simplemente arrastre la chincheta del mapa, el formulario se borrará y podrá ubicar el establecimiento que desea añadir al mapa."
howToSubmit, "submit a new premises", "añadir ubicaciones nuevas a este mapa"
howToOL2a, "Drag the map pin to locate the place", "Arrastre la chincheta del mapa para ubicar el establecimiento"
howToOL2b, "The coordinates and postcode will be filled out. Just add the name of the premises and the address as you would like it to appear in the index", "Se completarán las coordenadas y el código postal. Simplemente agregue el nombre del establecimiento y la dirección como le gustaría que aparezca en el índice"
howToOL2c, "Select how likely you feel a person is to hear and be able to use Welsh in the premises. This isn't scientific, just what you think is likely", "Seleccione que tan probable cree que es que alguien oiga y que pueda practicar el galés en el establecimiento. Esto no tiene que ser una evaluación científica, solamente tiene que representar lo que cree que es probable."
howToInaccurate, "If the index appears inaccurate", "Si la categoría de un establecimiento en el índice parece inexacto"
howToP1, "The category (how likely it is to use Welsh) of a premises is calculated by aggregating all the reviews received. So your submission will be taken into account straight away, but it may or may not affect the current rating", "La categoría (la probabilidad de que se use galés) de un establecimiento se calcula por sumir todas las reseñas, por lo que se recibirá su reseña tan pronto como la haya escrito, pero no necesariamente afectará a la categoría del establecimiento en la actualidad."
howToP2, "If you feel the rating of a premises is way off and remains way off after you have submitted your rating, then please get in touch. If you are the business owner we can help by pointing you in the direction of resources to help increase the use of Welsh in your business. If the data in the index is just plain wrong then we can correct it", "Si cree que la categoría de un establecimiento es muy inexacto y queda sin cambiar despues de que haya añadido su reseña, por favor póngase en contacto con nosotros. Si usted es el propietario de esta empresa, podemos ayudarlo indicándole la dirección de los recursos que le ayudarán a aumentar el uso del galés en su empresa. Si los datos del índice son simplemente incorrectos, podemos corregirlos."
formSubmitted, "Submitted", "Se añadió su contribución"
formSubmit, "Submit", "Añadir"
formClear, "Clear", "Borrar"
formClearToDrop, "Clear the form to drop a pin", "Borre el formulario para colocar la chincheta"
formDragPin, "Drag the pin...", "Arrastrar la chincheta ..."
formName, "Name of premises", "Nombre del establecimiento"
formAddress, "Address of premises", "Dirección del establecimiento"
formPostcode, "Postcode of premises", "Código postal del establecimiento"
formCoordinates, "Coordinates", "Coordenadas"
formCategory, "Category", "Categoría"
errorMissingName, "A name is required", "Se requiere un nombre"
errorMissingAddress, "An address is required to identify the premises", "Se requiere una dirección para identificar el establecimiento."
errorMissingCategory, "A category is required to help others know what to expect", "Se requiere una categoría para ayudar a otras personas a saber qué deberían esperar"
errorInvalidPostcode, "If a postcode is supplied it must be valid,  or just use the coordinates", "Si se proporciona un código postal, debe ser válido, o simplemente use las coordenadas del establecimiento"
errorInvalidCoordinates, "Coordinates can be set by moving the pin on the map and are required", "Las coordenadas se pueden establecer por arrastrar la chincheta en el mapa y son obligatorias"
errorInvalidCategory, "The category has to be set", "La categoría tiene que estar seleccionada"
errorCoordinatesMismatch, "It has not been possible to verify the supplied coordinates, please try again", "No nos ha resultado posible verificar las coordenadas proporcionadas. Vuelva a intentarlo."
privacyType, "Type", "Escribir"
privacyLink, "Download link", "Enlace de descarga"
privacySHA256, "SHA256 Hash", "Hash SHA256"
